时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/12 0:00,0.0038,0.0062,0.0058,4,0.25,2,0.097375,0,0,1709,14814
2018/3/12 1:00,0.0028,0.0055,0.005,3,0,2,0.0729,4,0,975,1381
2018/3/12 2:00,0.0026,0.0054,0.0049,2,0,2,0.068575,0,0,966,1456
2018/3/12 3:00,0.0034,0.0059,0.0054,2,0,2,0.084325,1,0,1150,3068
2018/3/12 4:00,0.0043,0.0088,0.008,3,0.5,3,0.09635,0,0,1481,15885
2018/3/12 5:00,0.0036,0.0058,0.0055,3,0.25,2,0.08375,0,0,1333,2931
2018/3/12 6:00,0.0054,0.0116,0.0105,3,0.75,2,0.13575,3,3,2373,101663
2018/3/12 7:00,0.0294,0.085,0.0752,6,2.75,4,0.4634,15,15,11518,232069
2018/3/12 8:00,0.0098,0.0083,0.0085,7,2,3,0.177625,34,33,2559,12324
2018/3/12 9:00,0.0066,0.0078,0.0076,6,1.5,3,0.130525,18,12,1816,10529
2018/3/12 10:00,0.0045,0.0072,0.0067,5,0.25,3,0.086525,15,13,1380,7934
2018/3/12 11:00,0.0078,0.0214,0.019,5,1,4,0.186325,40,39,2992,62978
2018/3/12 12:00,0.0217,0.0121,0.0138,6,2.25,5,0.370275,117,117,12150,23219
2018/3/12 13:00,0.0222,0.0179,0.0186,8,3.25,4,0.407675,41,39,7872,126558
2018/3/12 14:00,0.0237,0.0314,0.03,9,2.5,4,0.401575,37,36,12755,227052
2018/3/12 15:00,0.0153,0.0155,0.0155,6,1.75,3,0.230425,59,57,4846,43427
2018/3/12 16:00,0.0097,0.0119,0.0115,7,1.75,4,0.218175,33,30,3451,73121
2018/3/12 17:00,0.0083,0.012,0.0113,6,1.25,3,0.141325,9,8,5277,30831
2018/3/12 18:00,0.0487,0.0535,0.0527,6,1.5,4,0.4043,43,40,51263,139987
2018/3/12 19:00,0.0197,0.0272,0.0258,9,2.75,4,0.358,47,46,7994,74110
2018/3/12 20:00,0.0497,0.058,0.0565,9,3.75,5,0.670725,58,55,18479,323127
2018/3/12 21:00,0.0498,0.0781,0.0731,8,4.25,6,0.8774,52,51,22172,496864
2018/3/12 22:00,0.0392,0.0369,0.0373,6,2.5,4,0.90375,17,17,23935,259014
2018/3/12 23:00,0.0061,0.007,0.0068,4,0.75,2,0.2289,5,1,2206,10213
2018/3/13 0:00,0.0056,0.0081,0.0077,4,0.5,3,0.122075,7,0,2004,26390
2018/3/13 1:00,0.0037,0.0073,0.0067,3,0,3,0.08435,0,0,1450,13356
2018/3/13 2:00,0.0025,0.0054,0.0049,2,0,2,0.06815,0,0,974,1436
